date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
15/05/2015,13482.49262,15,9318274.627,0.020591,1048
16/05/2015,9925.259366,7,9069956.122,0.020042,5613
17/05/2015,10315.1005,10,8352891.629,0.018457,3600
18/05/2015,3241.270808,13,8583968.701,0.018968,3252
19/05/2015,34043.76288,56,8546557.661,0.018885,17123
20/05/2015,50789.40652,21,7832086.212,0.017306,3676
21/05/2015,42964.25289,41,8286835.49,0.018311,11497
22/05/2015,20188.36624,3,7602386.493,0.016799,2421
23/05/2015,10971.07472,7,8336784.838,0.018422,2164
24/05/2015,1824.016082,8,8356788.001,0.018466,1366
25/05/2015,341.139604,7,8374984.758,0.018506,9355
26/05/2015,20.3844,1,7687321.789,0.016987,1288
27/05/2015,12090.83688,21,7494363.133,0.01656,2884
28/05/2015,2280.575024,7,7123873.955,0.015742,2089
29/05/2015,40513.1254,6,7838302.484,0.01732,7599
30/05/2015,1476.711815,7,7505399.995,0.016585,349
31/05/2015,591.1991,1,7489607.538,0.01655,3204
1/06/2015,12806.1215,8,7562877.281,0.016712,4375
2/06/2015,4678.771027,6,7652351.26,0.016909,5402
3/06/2015,4182.580291,8,7296546.422,0.016123,4069
4/06/2015,2542.01523,15,7513274.95,0.016602,5805
5/06/2015,1652.720368,8,6902052.64,0.015251,1511
6/06/2015,16.785756,2,7112720.063,0.015717,2423
7/06/2015,4328.059156,3,6952022.113,0.015362,3341
8/06/2015,3766.556941,4,7162324.494,0.015827,4949
9/06/2015,3542.448822,6,7296546.961,0.016123,2110
10/06/2015,4073.073909,11,7508433.668,0.016591,2311
11/06/2015,4887.55188,8,7411450.627,0.016377,3005
12/06/2015,6026.277712,16,7453857.253,0.016471,2733
13/06/2015,338.53865,6,7550654.607,0.016685,1437
14/06/2015,173.363664,4,7509066.184,0.016593,1025
15/06/2015,31123.11832,15,7476122.789,0.01652,7560
16/06/2015,4709.483478,18,7799373.758,0.017234,11751
17/06/2015,5017.733176,17,8076939.068,0.017848,8633
18/06/2015,5249.348659,13,8458703.861,0.018691,3942
19/06/2015,7538.766534,22,8203052.874,0.018126,5436
20/06/2015,5022.32,14,8480925.535,0.01874,1387
21/06/2015,28358.39672,27,7989991.553,0.017655,11126
22/06/2015,2344.400381,8,8244192.505,0.018217,1683
23/06/2015,3052.44179,9,8286098.54,0.01831,4915
24/06/2015,3628.377078,22,8279131.947,0.018294,3684
25/06/2015,803.818752,7,8124265.011,0.017952,3491
26/06/2015,2659.842419,8,8354660.691,0.018461,1298
27/06/2015,23007.30066,12,8376872.589,0.01851,8591
28/06/2015,42253.37665,15,8907088.41,0.019682,2745
29/06/2015,66422.47814,18,8392673.4,0.018545,6688
30/06/2015,38880.20073,26,8497674.667,0.018777,21198
1/07/2015,26653.5905,23,8179110.371,0.018073,8538
2/07/2015,4768.758308,12,8303746.908,0.018349,8884
3/07/2015,12320.21753,17,8221246.536,0.018166,5613
4/07/2015,8658.26286,12,8301289.95,0.018343,11810
5/07/2015,99332.56468,25,9337513.551,0.020633,30287
6/07/2015,13093.18575,20,10372953.98,0.022921,28678
7/07/2015,47485.06139,36,11591991.51,0.025615,15991
8/07/2015,8745.492161,9,11369559.04,0.025123,14281
9/07/2015,12292.47089,31,12115783.17,0.026772,14872
10/07/2015,18153.05256,26,11062521.86,0.024445,16548
11/07/2015,9764.035164,26,12390024.87,0.027378,23519
12/07/2015,2626.555215,7,12552446.36,0.027737,9669
13/07/2015,15253.59165,31,12918156.69,0.028545,3295
14/07/2015,3855.966614,22,12020115.23,0.026561,7585
15/07/2015,16160.96435,37,12628022.58,0.027904,7586
16/07/2015,5235.788943,11,12679160.78,0.028017,5724
17/07/2015,25754.89868,24,12296754.24,0.027172,15944
18/07/2015,4569.713925,12,12584984.47,0.027809,4464
19/07/2015,11797.3387,23,12638163.81,0.027926,6197
20/07/2015,39366.13619,29,12366362.03,0.027326,25074
21/07/2015,37506.25301,65,13605447.66,0.030064,38820
22/07/2015,102121.1125,37,14452984.13,0.031937,39658
23/07/2015,7461.599964,22,14338391.38,0.031683,13939
24/07/2015,12484.13813,29,14774974.47,0.032648,26934
25/07/2015,26276.87549,36,15522095.19,0.034299,38284
26/07/2015,12984.65142,16,15482586.07,0.034212,5095
27/07/2015,4798.91697,17,15293691.71,0.033794,7612
28/07/2015,73125.91378,19,15271138.13,0.033744,12701
29/07/2015,29036.74107,31,16497251.38,0.036454,5021
30/07/2015,11729.62801,10,15780859.92,0.034871,16290
31/07/2015,4537.111545,4,14954414.65,0.033045,9300
1/08/2015,18589.94558,13,15066827.51,0.033293,6163
2/08/2015,110469.1312,48,14734104.42,0.032558,47916
3/08/2015,186583.0861,39,13713951.41,0.030303,30525
4/08/2015,28436.27875,16,12129261.09,0.026802,56715
5/08/2015,188182.4738,26,11956386.19,0.02642,22828
6/08/2015,94230.4159,42,11358294.45,0.025098,7745
7/08/2015,78163.70088,16,11458872.88,0.02532,9944
8/08/2015,6003.237916,24,10577817.84,0.023374,14442
9/08/2015,29835.92397,24,10104726.13,0.022328,18628
10/08/2015,72537.18752,28,10086444.53,0.022288,14196
11/08/2015,189962.0052,31,10353590.06,0.022878,17497
12/08/2015,233323.0067,36,10034038.2,0.022172,20560
13/08/2015,164912.1365,39,9883608.791,0.02184,45883
14/08/2015,20640.07178,27,9904020.239,0.021885,27564
15/08/2015,14499.72336,31,10005386.44,0.022109,19791
16/08/2015,2982.8824,9,9594156.737,0.0212,14600
17/08/2015,5687.179497,16,9575602.118,0.021159,12408
18/08/2015,7408.672992,19,9579465.809,0.021168,26850
19/08/2015,42215.97283,30,7703182.7,0.017022,21918
