,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,Ticker,Launched
PIVX,5,CCCAGG,PIVX,USD,2,0.6754488676,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.661773268,0.69949906,0.6546210866,0.6557214222000001,0.7005208002,0.6426745858,Binance,0.0,0.0,0.6753702722,0.6758418446,0.6717548838,0.019727445399999932,3.008510128251218,0.013675599599999977,2.066508313539189,60056223.1747414,40564907.93571196,2340912.7220105594,1581166.8472324659,PIVX,2017-02-13
SYS,5,CCCAGG,SYS,USD,4,0.0732516584,1558534256,0.0,0.0,0,0.0,0.0,0.0,0.0,0.070343599,0.0759239292,0.07018640659999999,0.06987202179999999,0.0763169102,0.06845729019999999,Binance,0.0,0.0,0.07309446600000001,0.0732516584,0.07309446600000001,0.0033796366000000133,4.83689538807651,0.002908059399999996,4.134078212290496,553566371.114572,40549654.71861226,13121101.568799697,961142.4499494195,SYS,2014-12-02
LBA,5,CCCAGG,LBA,USD,4,0.0404710175,1558534212,0.0,0.0,0,0.0,0.0,0.0,0.0,0.04330005949999999,0.043535813,0.040392433,0.042121292,0.0483294675,0.0403138485,HuobiPro,0.0,0.0,0.0406281865,0.040706771,0.040392433,-0.0016502745,-3.9179104477611943,-0.00282904199999999,-6.533575317604335,1000000000.0,40471017.5,17563802.143168367,710824.9439027045,LBA,2018-05-29
CENNZ,5,CCCAGG,CENNZ,USD,4,0.032963816,1558534159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.032963816,0.032963816,0.032963816,0.0404464,0.0404464,0.032963816,HitBTC,0.0,0.0,0.032963816,0.032963816,0.032963816,-0.0074825840000000005,-18.5,0.0,0.0,1200000000.0,39556579.2,375.0,12.361431,CENNZ,2019-03-26
FIII,5,CCCAGG,FIII,USD,4,0.0156419373,1558534185,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0168995805,0.0176856075,0.0155633346,0.0165851697,0.0182358264,0.0155633346,DigiFinex,0.0,0.0,0.0157991427,0.0157991427,0.0156419373,-0.0009432324000000006,-5.687203791469198,-0.001257643200000002,-7.4418604651162905,2508917248.88121,39244326.297888376,1901575.010000004,29744.317077666932,FIII,2019-02-08
NEXT,5,CCCAGG,NEXT,USD,2,0.32670231,1558534219,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3663715,0.40048195,0.31735352,0.38557442,0.42625429,0.31735352,IDEX,0.0,0.0,0.32543896,0.34918994,0.32543896,-0.05887210999999998,-15.268676277850584,-0.03966919000000002,-10.827586206896557,120000000.0,39204277.2,28177.64629762847,9205.702135798168,NEXT,2018-07-18
CMT,5,CCCAGG,CMT,USD,4,0.0388131848,1558534162,0.0,0.0,0,0.0,0.0,0.0,0.0,0.04069884560000001,0.04140596840000001,0.03857747719999999,0.038891754,0.04140596840000001,0.0383417696,HuobiPro,0.0,0.0,0.038891754,0.038891754,0.0388131848,-7.856920000000323e-05,-0.20202020202021032,-0.001885660800000015,-4.633204633204668,1000000000.0,38813184.8,36435712.504678875,1414186.042763772,CMT,2017-05-26
NEXO,5,CCCAGG,NEXO,USD,1,0.06845729019999999,1558534225,0.0,0.0,0,0.0,0.0,32340.0,2266.6764193,0.0680643092,0.07340885080000001,0.067985713,0.0681429054,0.073487447,0.064055903,HuobiPro,0.0,0.0,0.06885027120000001,0.0690074636,0.06837869399999999,0.0003143847999999977,0.4613610149942296,0.0003929809999999867,0.5773672055427056,560000011.0,38336083.26503019,10898476.588534126,746132.9422134187,NEXO,2018-05-22
NRG,5,CCCAGG,NRG,USD,4,2.32936314,1558534222,0.0,0.0,0,0.0,0.0,0.0,0.0,2.32150429,2.377302125,2.298713625,2.279852385,2.377302125,2.264134685,Kucoin,0.0,0.0,2.32936314,2.32936314,2.32936314,0.04951075500000002,2.1716649431230617,0.007858849999999862,0.3385240352064937,16304421.1599914,37978917.669120006,8899.6779437,20730.581759925775,NRG,2018-11-24
STEEM,5,CCCAGG,STEEM,USD,4,0.3773403562,1558534256,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3864575154,0.4010764086,0.375689836,0.3723887956,0.4019409668,0.3685375818,HuobiPro,0.0,0.0,0.3774189524,0.3786764916,0.3769473752,0.004951560600000016,1.3296749683410765,-0.009117159200000002,-2.3591620907057154,99692126.0,37617862.33517528,5444274.9870088,2054344.662848651,STEEM,2016-04-17
TNT,5,CCCAGG,TNT,USD,4,0.0374123624,1558534259,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0281378692,0.0395344922,0.0264087264,0.0198851422,0.0396130896,0.01964935,HuobiPro,0.0,0.0,0.0359976092,0.0379625442,0.0356046222,0.017527220200000002,88.14229249011859,0.009274493200000004,32.96089385474862,1000000000.0,37412362.400000006,817517307.3812454,30585253.77201935,TNT,2017-07-26
CND,5,CCCAGG,CND,USD,1,0.0185423312,1558534162,0.0,0.0,0,0.0,0.0,398.0,5.6118,0.0189351772,0.020035146,0.0181494852,0.0189351772,0.020035146,0.0181494852,Binance,0.0,0.0,0.0186209004,0.0186994696,0.018463762,-0.0003928459999999988,-2.0746887966804914,-0.0003928459999999988,-2.0746887966804914,2000000004.60791,37084662.485441394,27886397.813218463,517077.05617983494,CND,2017-08-29
FOAM,5,CCCAGG,FOAM,USD,1,0.0366288582,1558534185,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0385939257,0.0404017878,0.036157242,0.0374934879,0.0404017878,0.036157242,Poloniex,0.0,0.0,0.0365502555,0.0366288582,0.0365502555,-0.0008646296999999942,-2.3060796645702153,-0.0019650674999999937,-5.091649694501003,1000000000.0,36628858.2,316951.70745686884,11609.579148685532,FOAM,2018-12-13
APL,5,CCCAGG,APL,USD,4,0.0017291252,1558534143,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0017291252,0.0018077218,0.001571932,0.0014933354,0.001964915,0.0014933354,BitMart,0.0,0.0,0.0017291252,0.0017291252,0.0017291252,0.00023578979999999998,15.789473684210522,0.0,0.0,21165096530.9,36597101.77201177,1803663344.9310017,3118759.7420364874,APL,2018-07-18
HPB,5,CCCAGG,HPB,USD,1,0.3644002628,1558534201,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3619635915,0.3772124377,0.3544177707,0.3673871502,0.3805137343,0.3497802349999999,OKEX,0.0,0.0,0.3618849892,0.3644002628,0.3618849892,-0.0029868874000000267,-0.813008130081308,0.0024366712999999707,0.6731813246471146,100000000.0,36440026.28,6272541.178282878,2285715.6537901023,HPB,2018-02-12
TKY,5,CCCAGG,TKY,USD,1,0.0036019725,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,0.002376038,0.0037713284,0.0022648192,0.0027248606,0.0037637453,0.0022597638,LBank,0.0,0.0,0.0032809546,0.0036019725,0.0028259686,0.0008771118999999997,32.18923933209646,0.0012259344999999999,51.59574468085106,9795844687.0,35284363.1768451,86423095.59141523,311293.6136851489,TKY,2018-02-12
NXT,5,CCCAGG,NXT,USD,2,0.034975309,1558534225,0.0,0.0,0,0.0,0.0,0.0,0.0,0.032617423,0.03654723300000001,0.0323816344,0.033403385,0.036940214,0.032224442,Upbit,0.0,0.0,0.0350539052,0.0351325014,0.034975309,0.0015719240000000023,4.705882352941184,0.0023578860000000035,7.228915662650613,1000000000.0,34975309.0,22496402.203672837,786818.6184617385,NXT,2014-07-19
DRGN,5,CCCAGG,DRGN,USD,4,0.08025539870000001,1558534172,0.0,0.0,0,0.0,0.0,0.0,0.0,0.08159167860000001,0.0831637726,0.0795479564,0.08284935380000001,0.0854433089,0.0792335376,Upbit,0.0,0.0,0.08001958460000001,0.0804126081,0.0797837705,-0.0025939551000000033,-3.1309297912713507,-0.0013362799000000009,-1.6377649325626216,433494437.0,34790268.875667036,2952303.000920087,236938.25442204808,DRGN,2017-12-18
MFT,5,CCCAGG,MFT,USD,4,0.0034577972,1558534215,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0036149698,0.0036935561,0.0033792109,0.0036149698,0.0036935561,0.0033792109,Binance,0.0,0.0,0.0034577972,0.0035363835,0.0034577972,-0.0001571725999999999,-4.347826086956519,-0.0001571725999999999,-4.347826086956519,10000000000.0,34577972.0,642812244.2966189,2222714.378454565,MFT,2018-07-11
CSC,5,CCCAGG,CSC,USD,4,0.0008644108,1558534168,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0008644108,0.0009429935999999999,0.0007858279999999999,0.0008644108,0.0009429935999999999,0.0007858279999999999,StocksExchange,0.0,0.0,0.0008644108,0.0008644108,0.0008644108,0.0,0.0,0.0,0.0,39999998272.3348,34576430.50658754,17746758.45549985,15340.489673925389,CSC,2014-12-02
UTK,5,CCCAGG,UTK,USD,2,0.0689299198,1558534261,0.0,0.0,0,0.0,0.0,5683.29246813,393.6340196731116,0.0706590626,0.0712092444,0.067986751,0.06853693279999999,0.0712878418,0.0672793744,HuobiPro,0.0,0.0,0.0688513224,0.06900851720000001,0.06877272499999999,0.0003929870000000113,0.5733944954128606,-0.0017291427999999998,-2.4471635150166846,500000000.0,34464959.9,11637435.488133429,802169.380000356,UTK,2018-01-05
HLC,5,CCCAGG,HLC,USD,4,0.0338775913,1558534201,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0146986301,0.0338775913,0.0146986301,0.0356068419,0.0356068419,0.0146986301,ZB,0.0,0.0,0.0338775913,0.0338775913,0.0338775913,-0.0017292505999999958,-4.856512141280342,0.019178961200000004,130.48128342245994,1000000000.0,33877591.300000004,1661495.9000000046,56287.47904682583,HLC,2014-11-11
FTM,5,CCCAGG,FTM,USD,4,0.0168995805,1558534188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0147773076,0.0176856075,0.0126550347,0.0150917184,0.0176856075,0.0126550347,Kucoin,0.0,0.0,0.0164279643,0.0171353886,0.0163493616,0.0018078621,11.979166666666666,0.0021222729000000013,14.361702127659584,2001333655.18993,33821699.213241465,140653779.52884433,2376989.8697769567,FTM,2018-12-19
REN,5,CCCAGG,REN,USD,2,0.033403045,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0338746174,0.0352107392,0.0328528772,0.033796022,0.0352107392,0.032617091,Binance,0.0,0.0,0.0336388312,0.0336388312,0.033403045,-0.0003929770000000027,-1.1627906976744267,-0.00047157240000000183,-1.3921113689095181,1000000000.0,33403045.0,19508311.799999855,651637.0169294261,REN,2018-02-17
TCT,5,CCCAGG,TCT,USD,4,0.033315086,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,0.034452551,0.034452551,0.031924851,0.036550542,0.036550542,0.031924851,Gateio,0.0,0.0,0.033315086,0.033315086,0.033315086,-0.0032354559999999977,-8.852005532503451,-0.0011374649999999972,-3.301540719002193,1000000000.0,33315086.0,13189380.139855951,439405.333645993,TCT,2017-10-15
RDNN,5,CCCAGG,RDNN,USD,4,0.3330087098,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.32617091,0.34581976,0.3162678896,0.2989769016,0.348963576,0.296697635,Binance,0.0,0.0,0.3299434892,0.3330087098,0.3298648938,0.03403180820000001,11.382754994742381,0.006837799800000044,2.0963855421686883,100000000.0,33300870.980000004,3137604.8572958233,1044849.7453902953,RDNN,2017-11-15
MTL,5,CCCAGG,MTL,USD,2,0.4967440023,1558534218,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4519498113000001,0.5889257322,0.4512425346,0.4464487703,0.5918334252999999,0.4386687266,HuobiPro,0.0,0.0,0.4976084516,0.4976084516,0.4954866215,0.05029523199999997,11.265622249603934,0.04479419099999987,9.91131977047467,66588888.0,33077630.73382644,19919934.593962207,9895108.035759011,MTL,2017-07-09
STORM,5,CCCAGG,STORM,USD,4,0.0033010404,1558534256,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0034582328,0.0034582328,0.0032224442,0.0034582328,0.003536829,0.0032224442,Binance,0.0,0.0,0.0033010404,0.0033010404,0.0033010404,-0.00015719240000000015,-4.545454545454549,-0.00015719240000000015,-4.545454545454549,10000000000.0,33010404.0,623787973.010138,2059149.2999405754,STORM,2017-12-20
CBT,5,CCCAGG,CBT,USD,4,0.03248,1558513458,160.0,5.19664,360201813,320.0,10.39328,719.0,18.525299,0.02038,0.03248,0.02038,0.02303,0.03248,0.02038,Bitfinex,0.0,0.0,0.03248,0.03248,0.03248,0.009450000000000004,41.033434650455945,0.012100000000000003,59.37193326790974,1000000000.0,32480000.000000004,718.9999999999983,18.525298999999944,CBT,2018-09-05
WABI,5,CCCAGG,WABI,USD,1,0.3242155125,1558534263,0.0,0.0,0,0.0,0.0,0.0,0.0,0.324608501,0.3570693511,0.3191852597,0.3139192138,0.3570693511,0.3103823173,Binance,0.0,0.0,0.3225649608,0.3247656964,0.3218575815,0.01029629870000004,3.279919879819743,-0.0003929884999999689,-0.12106537530265386,100000000.0,32421551.250000004,7176764.899999979,2326818.5101455045,WABI,2017-12-14
PART,5,CCCAGG,PART,USD,4,4.52709504,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,4.58997136,4.6371286,4.52709504,4.515305730000001,4.715724,4.501158558,Upbit,0.0,0.0,4.545171982,4.545171982,4.52709504,0.011789309999999276,0.26109660574410926,-0.06287631999999999,-1.3698630136986298,7151310.15445645,32374660.729741424,4626.486890100105,20944.545852797208,PART,2017-07-21
GTO,5,CCCAGG,GTO,USD,4,0.0321483407,1558534196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.03364178439999999,0.0367072741,0.0315195223,0.03985136609999999,0.0402443776,0.03144092,OKEX,0.0,0.0,0.0320697384,0.03222694299999999,0.0319911361,-0.007703025399999987,-19.329388560157764,-0.0014934436999999925,-4.439252336448577,1000000000.0,32148340.7,718115465.0928342,23086220.63374339,GTO,2018-01-05
SHE,5,CCCAGG,SHE,USD,4,0.006366154499999999,1558534248,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006366154499999999,0.007152099499999999,0.006287559999999999,0.006366154499999999,0.007230693999999999,0.005501615,CoinBene,0.0,0.0,0.006287559999999999,0.006366154499999999,0.006287559999999999,0.0,0.0,0.0,0.0,5000000000.0,31830772.499999993,15624993.8,99471.12459234208,SHE,2018-06-29
BFT,5,CCCAGG,BFT,USD,1,0.031464885,1558534146,0.0,0.0,0,0.0,0.0,11205.98845703,355.5212276778627,0.03229889399999999,0.033057084,0.031287974,0.03437128,0.034497645,0.031287974,HuobiPro,0.0,0.0,0.031439612,0.031540704,0.031363793,-0.002906394999999999,-8.455882352941174,-0.0008340089999999897,-2.582159624413115,1000000000.0,31464884.999999996,1850202.0133898617,58219.319667646545,BFT,2018-05-04
BLZ,5,CCCAGG,BLZ,USD,4,0.0627867783,1558534151,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0622367064,0.06459415739999999,0.06082223580000001,0.0611365626,0.06475132080000001,0.0600364188,HuobiPro,0.0,0.0,0.06286536,0.0630225234,0.0626296149,0.001650215699999999,2.699228791773777,0.0005500718999999973,0.8838383838383794,500000000.0,31393389.15,10785342.715938358,677176.9219951415,BLZ,2018-01-26
RCN,5,CCCAGG,RCN,USD,4,0.0313595646,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.03143816,0.0319883278,0.0304950152,0.0316739462,0.0327742818,0.0304164198,Binance,0.0,0.0,0.0313595646,0.0315167554,0.0312809692,-0.0003143815999999966,-0.9925558312654981,-7.859539999999915e-05,-0.2499999999999973,999942647.35309,31357766.04596425,24886856.007696867,780440.968664268,RCN,2017-05-26
H2O,5,CCCAGG,H2O,USD,4,0.31060517,1558534182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.480187,0.4801870025273,0.31060517,0.480187,0.480187,0.31060517,IDEX,0.0,0.0,0.31060517,0.31060517,0.31060517,-0.16958183,-35.31578947368421,-0.16958183,-35.31578947368421,100000000.0,31060517.0,498.5263146814405,154.84485072110232,H2O,2017-11-25
SMT,5,CCCAGG,SMT,USD,2,0.0098628983,1558534244,0.0,0.0,0,0.0,0.0,6790.0,50.6442473,0.0100828604,0.0101991622,0.009607540000000001,0.0105227846,0.0105505959,0.009597426800000001,HuobiPro,0.0,0.0,0.0099589737,0.0099792001,0.0098325587,-0.000659886299999999,-6.271023546371928,-0.0002199620999999985,-2.1815446339016904,3141592653.0,30985208.83656619,39587780.24263072,390433.92562365916,SMT,2018-01-17
UTT,5,CCCAGG,UTT,USD,4,0.3083672,1558534262,0.0,0.0,0,0.0,0.0,0.0,0.0,0.290674,0.3083672,0.290674,0.2932016,0.3083672,0.290674,HitBTC,0.0,0.0,0.3083672,0.3083672,0.3083672,0.015165600000000001,5.172413793103449,0.01769320000000002,6.086956521739138,100000000.0,30836720.0,1174.699999999974,362.23894983999196,UTT,2017-12-30
BMX,5,CCCAGG,BMX,USD,4,0.0322970787,1558534151,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0292323924,0.0326114055,0.0288394839,0.0278179218,0.0326114055,0.0273464316,BitMart,0.0,0.0,0.0326114055,0.0326114055,0.0318255885,0.004479156900000003,16.10169491525425,0.003064686300000001,10.48387096774194,948928841.331415,30647629.469180528,116932120.80001414,3776565.908035964,BMX,2018-07-31
GRS,5,CCCAGG,GRS,USD,4,0.41659219,1558534196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4271248981999999,0.4424523466999999,0.4137625072,0.4184786451999999,0.4474042915999999,0.4123476658,Binance,0.0,0.0,0.4175354176,0.4175354176,0.4164349854,-0.0018864551999999146,-0.45078888054092636,-0.010532708199999907,-2.4659550975340236,72592323.8873662,30241395.1854272,10853410.0169467,4521445.847927762,GRS,2015-01-29
UNO,5,CCCAGG,UNO,USD,4,149.1343,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,154.1897,154.1897,149.1343,154.1897,154.1897,149.1343,Bleutrade,0.0,0.0,149.1343,149.1343,149.1343,-5.055399999999992,-3.2786885245901587,-5.055399999999992,-3.2786885245901587,200419.60151896,29889436.978809036,0.9328702300000091,139.12294874189035,UNO,2017-10-15
SWFTC,5,CCCAGG,SWFTC,USD,4,0.0029866556,1558534256,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0030652518,0.0030652518,0.0029080594,0.0030652518,0.003143848,0.0029080594,HuobiPro,0.0,0.0,0.0029866556,0.0029866556,0.0029866556,-7.859619999999986e-05,-2.5641025641025594,-7.859619999999986e-05,-2.5641025641025594,10000000000.0,29866556.0,1919430058.8499918,5732676.534072658,SWFTC,2017-12-19
ETHOS,5,CCCAGG,ETHOS,USD,4,0.1337690304,1558534180,0.0,0.0,0,0.0,0.0,0.0,0.0,0.13361184,0.1374630048,0.1299964608,0.1334546496,0.1419429312,0.1299964608,Binance,0.0,0.0,0.1338476256,0.1344763872,0.1335332448,0.0003143807999999859,0.23557126030623207,0.00015719039999997908,0.11764705882351374,222295208.238453,29736214.468623947,6791194.6082819505,908451.5180075843,ETHOS,2017-11-25
EPT,5,CCCAGG,EPT,USD,4,0.0194130144,1558534180,0.0,0.0,0,0.0,0.0,3394.07548299,67.76573417681,0.0194916096,0.0198059904,0.0187842528,0.018862848,0.0199631808,0.0187056576,Upbit,0.0,0.0,0.0193344192,0.0194130144,0.019255824,0.0005501663999999996,2.9166666666666647,-7.859519999999995e-05,-0.40322580645161266,1500000000.0,29119521.6,60834770.64704371,1180988.1550897078,EPT,2018-07-12
NULS,5,CCCAGG,NULS,USD,2,0.7248217355000001,1558534222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7318161120000001,0.7657663440000001,0.7144480535,0.7199492485,0.7664736405,0.7133478145000001,BitZ,0.0,0.0,0.723642908,0.7252932665,0.7234071425,0.004872487000000092,0.6767820106975349,-0.00699437650000001,-0.9557560137457057,40000000.0,28992869.42,8742411.298693325,6336689.7299737055,NULS,2017-11-15
C20,5,CCCAGG,C20,USD,4,0.7064362500000001,1558534159,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6950624999999999,0.7312057500000001,0.6950624999999999,0.722865,0.7312057500000001,0.68874375,HitBTC,0.0,0.0,0.7064362500000001,0.7064362500000001,0.7064362500000001,-0.01642874999999988,-2.2727272727272565,0.011373750000000182,1.6363636363636629,40656081.9801672,28720930.0937619,24795.399999999845,17516.369393249894,C20,2018-01-27
MEDIB,5,CCCAGG,MEDIB,USD,2,0.002855171,1558534211,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0030295133,0.0035424334,0.0025292267,0.0031659551,0.0035424334,0.0025292267,Gateio,0.0,0.0,0.0028955982,0.0028955982,0.002855171,-0.00031078409999999975,-9.816440542697519,-0.00017434229999999974,-5.754795663052536,10000000000.0,28551710.0,129413906.92820226,369498.83405810216,MEDIB,2018-01-17
GAS,5,CCCAGG,GAS,USD,4,2.763670932,1558534188,0.0,0.0,0,0.0,0.0,220.41427941,610.89084248,2.781749553,2.886291144,2.742448203,2.755810662,2.898081549,2.711007123,HuobiPro,0.0,0.0,2.7510945,2.763670932,2.742448203,0.007860270000000114,0.2852253280091313,-0.018078620999999906,-0.6499011020062131,10128375.0,27991495.575895503,343101.8565759987,948222.3660397977,GAS,2017-09-07
DGTX,5,CCCAGG,DGTX,USD,1,0.027949726,1558534177,0.0,0.0,0,0.0,0.0,391765.0,11122.1365404,0.027899184,0.028429875,0.027494848,0.027141054,0.029036379,0.027141054,HitBTC,0.0,0.0,0.027873913,0.027949726,0.027873913,0.0008086719999999999,2.979515828677839,5.054200000000064e-05,0.18115942028985738,1000000000.0,27949726.0,2624420.0,73524.23204293,DGTX,2018-11-05
QLC,5,CCCAGG,QLC,USD,4,0.0457425228,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.042048539,0.0474716216,0.041262585,0.0410267988,0.0474716216,0.039690677,Binance,0.0,0.0,0.0464498814,0.0464498814,0.04566392740000001,0.0047157239999999975,11.494252873563212,0.0036939837999999947,8.78504672897195,600000000.0,27445513.68,67412790.1231148,3083631.089218193,QLC,2018-01-05
USE,5,CCCAGG,USE,USD,2,0.0013623764,1558534262,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0013446832,0.0013724868,0.001301714,0.0013194072,0.0013724868,0.001301714,Kucoin,0.0,0.0,0.0013573212,0.0013699592,0.0013573212,4.2969199999999975e-05,3.25670498084291,1.76931999999999e-05,1.315789473684203,20000000000.0,27247528.0,22062474.151313104,30057.394109359,USE,2018-12-19
PLR,5,CCCAGG,PLR,USD,4,0.03396153599999999,1558534219,0.0,0.0,0,0.0,0.0,0.0,0.0,0.031813671,0.03396153599999999,0.029615268,0.03396153599999999,0.03396153599999999,0.029615268,HitBTC,0.0,0.0,0.03396153599999999,0.03396153599999999,0.03133356,0.0,0.0,0.002147864999999985,6.75138999205714,800000000.0,27169228.79999999,73950.0,2511.455587199999,PLR,2017-07-06
ANT,5,CCCAGG,ANT,USD,4,0.6849796,1558534134,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6849796,0.6849796,0.6551539200000001,0.68523236,0.70798076,0.6551539200000001,Upbit,0.0,0.0,0.6849796,0.6849796,0.6849796,-0.000252759999999963,-0.036886757653996814,0.0,0.0,39609523.8095238,27131715.77523809,34412.18057215537,23571.641683442755,ANT,2017-05-17
RUFF,5,CCCAGG,RUFF,USD,2,0.0137651137,1558534234,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0135351476,0.0145914754,0.013267275,0.0136008522,0.0145889483,0.013267275,HuobiPro,0.0,0.0,0.013671611,0.0139015771,0.0136690839,0.00016426150000000035,1.2077294685990365,0.00022996609999999945,1.699029126213588,1880000000.0,25878413.756,20175918.12645328,277723.8070125204,RUFF,2018-02-07
ROX,5,CCCAGG,ROX,USD,1,0.07758197,1558534244,0.0,0.0,0,0.0,0.0,0.0,0.0,0.074979057,0.0783401,0.07224978900000001,0.078921333,0.078921333,0.07126422,HitBTC,0.0,0.0,0.075509748,0.07758197,0.075509748,-0.0013393629999999962,-1.697086135126476,0.0026029129999999984,3.471520053926523,331614076.921422,25727273.367295455,201364.0,15622.21580708,ROX,2018-08-10
GBYTE,5,CCCAGG,GBYTE,USD,1,37.80003843,1558534188,0.0,0.0,0,0.0,0.0,0.0,0.0,38.7511311,39.30135000000001,37.28912088,38.6725284,39.30135000000001,36.89610738,Upbit,0.0,0.0,37.80003843,37.80003843,37.79217816,-0.8724899699999966,-2.256097560975601,-0.9510926700000013,-2.4543610547667374,679008.0,25666528.49427744,1245.3212826800077,47073.19234300119,GBYTE,2017-02-04
QSP,5,CCCAGG,QSP,USD,4,0.025936482,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0242859786,0.026722436,0.0240501924,0.0228712614,0.026722436,0.0223210936,Binance,0.0,0.0,0.0252291234,0.0260936728,0.0250719326,0.0030652206000000015,13.40206185567011,0.0016505033999999995,6.796116504854366,976442388.321185,25325480.428729426,46865395.08932837,1215523.4761572536,QSP,2017-11-29
TPAY,5,CCCAGG,TPAY,USD,4,1.25576136,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,1.19636041,1.25576136,1.137465,1.137465,1.25576136,1.137465,Liquid,0.0,0.0,1.25576136,1.25576136,1.25576136,0.11829635999999999,10.4,0.0594009499999999,4.965138390027458,20136492.8669389,25286629.66821749,617734.6106898319,775727.2548389338,TPAY,2019-03-29
OCN,5,CCCAGG,OCN,USD,4,0.0025150784,1558534225,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0026722708,0.0026722708,0.0024364822,0.0025936746,0.0026722708,0.0025150784,HuobiPro,0.0,0.0,0.0025150784,0.0025150784,0.0025150784,-7.859619999999986e-05,-3.030303030303025,-0.0001571923999999997,-5.88235294117646,10000000000.0,25150784.0,1242631537.7010598,3125315.7396307215,OCN,2017-08-03
UKG,5,CCCAGG,UKG,USD,1,0.024897845,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,0.025858371,0.025858371,0.02401315,0.02704639,0.02704639,0.02401315,Upbit,0.0,0.0,0.024695629,0.024897845,0.024695629,-0.0021485450000000017,-7.943925233644866,-0.0009605260000000032,-3.7145650048875973,1000000000.0,24897845.0,1434407.2848570268,35713.6502452411,UKG,2017-11-06
CHX,5,CCCAGG,CHX,USD,4,0.146137899,1558534159,0.0,0.0,0,0.0,0.0,832.0000000000001,119.418078,0.152760997,0.158322377,0.140424845,0.1870646,0.1870646,0.140424845,HitBTC,0.0,0.0,0.146137899,0.146137899,0.146137899,-0.04092670100000001,-21.878378378378383,-0.006623098000000022,-4.335594903193791,168956522.093084,24690951.16103038,36744.19999999994,5367.551534467791,CHX,2018-06-05
RHOC,5,CCCAGG,RHOC,USD,2,0.027901509,1558534243,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0293948292,0.0312025326,0.0264081888,0.0296306166,0.0312025326,0.0264081888,BitMart,0.0,0.0,0.0279801048,0.0284516796,0.0278229132,-0.0017291075999999982,-5.835543766578243,-0.0014933201999999986,-5.080213903743311,870663574.0,24292827.54593317,6593196.3799986625,183960.12813530012,RHOC,2018-01-05
